Disease,Organ affected,Deficiency
numbness,Bone,vitamin-b7
tinglings,Skin,vitamin-b7
seizures,Body,vitamin-b7
improper immune system,Body,vitamin-b7
Anemia,Body,vitamin-b9
weakness,Body,vitamin-b9
fatigue,Body,vitamin-b9
irregular heart beat,Heart,vitamin-b9
shortness of breath,Nose,vitamin-b9
hair loss,Head,vitamin-b9
mouth sores,Mouth,vitamin-b9
pale skin,Skin,vitamin-b9
grey hair,Head,vitamin-b9
muscle cramps,Muscle,calcium
tooth ache,Mouth,calcium
cataract,Eyes,calcium
brain alterations,Head,calcium
weak bones,Bone,calcium
hallucination,Head,calcium
depression,Head,calcium
confusion,Head,calcium
weak nail,Nail,calcium
fractures,Bone,calcium
Fatigue,Body,copper
frequent sick,Body,copper
weak bones,Bone,copper
walking difficulties,Body,copper
common cold,Body,copper
pale skin,Skin,copper
grey hair,Head,copper
vision problems,Eyes,copper
shortness of breath,Nose,iron
tinglings,Body,iron
irregular heart beat,Heart,iron
headache,Head,iron
chest pain,Heart,iron
inflammation of tongue,Mouth,iron
muscle cramps,Muscle,magnesium
mental disorder,Head,magnesium
high blood pressure,Body,magnesium
asthma,Nose,magnesium
irregular heart beat,Heart,magnesium
anxious,Body,phosphorous
fatigue,Body,phosphorous
irregular breathing,Nose,phosphorous
joint stiffness,Body,phosphorous
change in weight,Body,phosphorous
fatigue,Body,potassium
digestive problems,Stomach,potassium
muscle stiffness,Muscle,potassium
breathing difficulties,Nose,potassium
mood changing,Head,potassium
headache,Head,sodium
vomitting,Stomach,sodium
muscle spams,Muscle,sodium
confusion,Head,sodium
coma,Head,sodium
body ache,Body,sodium
no healing,Skin,zinc
weight loss,Body,zinc
decreased sence of tase,Mouth,zinc
decreased sence of smell ,Nose,zinc
diarrhea,Genital,zinc
appetite loss,Stomach,zinc
hair loss,Head,zinc
skin leasions,Skin,zinc
eye lesions,Eyes,zinc
illness,Body,sugar
weak,Body,sugar
mental weakness,Head,sugar
mental fatigue,Head,sugar
skin wrinkles,Skin,sugar
